lat	long	region	group
44.7	-122.8	oregon	A
45.6	-121.5	oregon	E
45.4	-122.2	oregon	E
45.0	-123.3	oregon	E
45.7	-121.6	oregon	E
45.6	-121.6	oregon	E
45.0	-123.3	oregon	E
45.1	-123.6	oregon	E
47.2	-122.8	washington	E
47.8	-121.7	washington	E
48.1	-122.1	washington	E
47.2	-122.2	washington	E
48.0	-121.6	washington	E
46.9	-122.1	washington	E
48.0	-122.2	washington	E
46.8	-122.3	washington	E
48.3	-122.0	washington	B
46.9	-122.0	washington	E
48.3	-122.5	washington	E
47.6	-121.3	washington	E
47.8	-121.8	washington	A
47.3	-122.0	washington	A
47.7	-121.6	washington	A
48.2	-122.3	washington	A
48.1	-121.3	washington	E
47.6	-122.0	washington	E
47.8	-121.3	washington	E
47.8	-122.6	washington	C
47.2	-122.1	washington	E
48.2	-122.5	washington	E
46.9	-122.3	washington	E
46.9	-121.8	washington	E
47.0	-122.1	washington	E
47.2	-121.8	washington	E
47.7	-121.3	washington	E
48.3	-121.8	washington	E
46.7	-122.4	washington	E
48.0	-123.0	washington	E
47.7	-123.4	washington	E
47.6	-121.6	washington	E
47.7	-123.1	washington	E
48.2	-121.7	washington	E
46.9	-122.5	washington	E
