Subject	Item	IV1	IV2	Response	Freq	RT
S12	t_07	A	2	1	8.87	1396
S12	t_08	A	2	1	0.39	1063
S13	t_01	A	2	0	8.77	450
S13	t_02	A	2	1	5.35	550
S13	t_03	A	2	0	6.64	250
S13	t_04	A	2	0	7.43	250
S13	t_05	A	2	1	7	200
S13	t_06	A	2	1	6.15	467
S13	t_07	A	2	1	0.45	119
S13	t_08	A	2	1	5.22	498
S14	t_01	A	2	1	7	367
S14	t_02	A	2	0	4.63	420
S14	t_03	A	2	1	5.52	191
S14	t_04	A	2	0	3.88	144
S14	t_05	A	2	1	6.03	354
S14	t_06	A	2	1	3.69	81
S14	t_07	A	2	1	2.41	78
S14	t_08	A	2	0	4.81	97
S15	t_01	A	2	1	8.61	167
S15	t_02	A	2	0	2.86	111
S15	t_03	A	2	1	5.5	98
S15	t_04	A	2	1	9.82	506
S15	t_05	A	2	1	8.8	538
S15	t_06	A	2	1	9.9	75
S15	t_07	A	2	1	8.79	183
S15	t_08	A	2	1	4.87	213
S16	t_01	A	2	1	3.11	312
S16	t_02	A	2	1	1.35	88
S16	t_03	A	2	0	0.45	416
S16	t_04	A	2	1	7.07	260
S16	t_05	A	2	1	6.58	466
S16	t_06	A	2	1	3.83	147
S16	t_07	A	2	1	9.68	184
S16	t_08	A	2	1	0.35	338
S17	t_01	A	2	1	1.7	81
S17	t_02	A	2	1	6.54	401
S17	t_03	A	2	1	6.21	508
S17	t_04	A	2	1	3.55	492
S17	t_05	A	2	1	0.74	86
S17	t_06	A	2	1	9.16	319
S17	t_07	A	2	1	8.4	78
S17	t_08	A	2	1	7.91	541
S18	t_01	A	2	0	5.48	439
S18	t_02	A	2	1	9.21	247
S18	t_03	A	2	0	0.54	198
S18	t_04	A	2	0	7.12	337
S18	t_05	A	2	1	4.14	108
S18	t_06	A	2	1	5.63	220
S18	t_07	A	2	1	3.82	256
S18	t_08	A	2	1	6.13	349
S19	t_01	A	2	0	5.65	293
S19	t_02	A	2	0	3.54	548
S19	t_03	A	2	1	8.82	407
S19	t_04	A	2	1	1.3	297
S19	t_05	A	2	1	5.72	412
S19	t_06	A	2	1	7.31	281
S19	t_07	A	2	1	3.51	367
S19	t_08	A	2	1	3.37	206
S20	t_01	A	2	0	9.07	867
S20	t_02	A	2	0	2.12	571
S20	t_03	A	2	1	3.79	674
S20	t_04	A	2	0	7.94	655
S20	t_05	A	2	1	0.42	841
S20	t_06	A	2	1	0.43	651
S20	t_07	A	2	1	4.18	549
S20	t_08	A	2	1	3.7	519
S21	t_01	A	2	0	0.63	720
S21	t_02	A	2	1	3.86	647
S21	t_03	A	2	1	1.65	557
S21	t_04	A	2	1	9.31	561
S21	t_05	A	2	1	4.66	600
S21	t_06	A	2	1	3.99	785
S21	t_07	A	2	1	9.47	596
S21	t_08	A	2	1	5.76	834
S22	t_01	A	2	0	9.59	844
S22	t_02	A	2	1	3.26	688
S22	t_03	A	2	1	1.94	761
S22	t_04	A	2	1	2.81	782
S22	t_05	A	2	1	6.7	981
S22	t_06	A	2	1	9.35	773
S22	t_07	A	2	1	2.02	993
S22	t_08	A	2	1	9	644
S23	t_01	A	2	1	1.94	550
S23	t_02	A	2	1	8.89	997
S23	t_03	A	2	1	1.99	675
S23	t_04	A	2	1	8.01	945
S23	t_05	A	2	1	8.03	716
S23	t_06	A	2	1	0.21	652
S23	t_07	A	2	1	2.03	574
S23	t_08	A	2	1	7.11	538
S24	t_01	A	2	1	6.79	980
S24	t_02	A	2	1	7.02	810
S24	t_03	A	2	1	7.87	842
S24	t_04	A	2	1	1.71	557
S24	t_05	A	2	0	5.02	534
S24	t_06	A	2	1	2.29	790
S24	t_07	A	2	1	9.56	748
S24	t_08	A	2	0	3.95	622
S1	t_01	A	3	1	5.41	1490
S1	t_02	A	3	1	2.05	1383
S1	t_03	A	3	1	6.17	1182
S1	t_04	A	3	1	4.78	1376
S1	t_05	A	3	0	1.89	1498
S1	t_06	A	3	1	6.24	1180
S1	t_07	A	3	1	9.5	1164
S1	t_08	A	3	1	1.82	1200
S2	t_01	A	3	1	2.4	1181
S2	t_02	A	3	1	6.21	1409
S2	t_03	A	3	1	0.32	1084
S2	t_04	A	3	1	3.08	1486
S2	t_05	A	3	1	5.02	1037
S2	t_06	A	3	1	5.14	996
S2	t_07	A	3	1	4.41	1330
S2	t_08	A	3	1	1.36	1300
S3	t_01	A	3	0	1.96	466
S3	t_02	A	3	1	8.15	626
S3	t_03	A	3	1	1.07	539
S3	t_04	A	3	0	5.05	240
S3	t_05	A	3	1	6.16	390
S3	t_06	A	3	1	8.31	560
S3	t_07	A	3	1	3.98	787
S3	t_08	A	3	1	7.71	552
S4	t_01	A	3	1	6.08	428
S4	t_02	A	3	1	8.72	493
S4	t_03	A	3	1	1.02	740
S4	t_04	A	3	1	9.59	698
S4	t_05	A	3	0	3.87	571
S4	t_06	A	3	1	9.18	427
S4	t_07	A	3	1	0.7	438
S4	t_08	A	3	1	3.16	255
S5	t_01	A	3	0	2.09	1164
S5	t_02	A	3	0	4.09	1196
S5	t_03	A	3	0	1.97	738
S5	t_04	A	3	0	6.32	1037
S5	t_05	A	3	0	9.17	999
S5	t_06	A	3	1	9.38	974
S5	t_07	A	3	1	9.46	891
S5	t_08	A	3	1	9.53	738
S6	t_01	A	3	0	0.89	883
S6	t_02	A	3	1	0.93	1098
S6	t_03	A	3	1	5.63	981
S6	t_04	A	3	1	0.87	1103
S6	t_05	A	3	1	7.67	726
S6	t_06	A	3	1	2.78	610
S6	t_07	A	3	1	8.44	937
S6	t_08	A	3	1	7.57	1120
S7	t_01	A	3	1	0.4	1522
S7	t_02	A	3	1	5.16	1441
S7	t_03	A	3	1	4.75	1091
S7	t_04	A	3	0	9.71	1304
S7	t_05	A	3	1	1.86	1368
S7	t_06	A	3	1	8.04	1518
S7	t_07	A	3	1	5.81	1443
S7	t_08	A	3	1	2.36	1630
S8	t_01	A	3	1	6.31	1348
S8	t_02	A	3	1	4.73	1646
S8	t_03	A	3	0	6.71	1193
S8	t_04	A	3	1	3.3	1221
S8	t_05	A	3	1	2.73	1084
S8	t_06	A	3	0	7.1	1493
S8	t_07	A	3	1	3.82	1056
S8	t_08	A	3	1	4.94	1218
S9	t_01	A	3	1	1.66	1379
S9	t_02	A	3	1	3.38	1482
S9	t_03	A	3	1	7.1	1582
S9	t_04	A	3	1	5.18	1062
S9	t_05	A	3	1	7.97	1345
S9	t_06	A	3	1	9.44	1065
S9	t_07	A	3	1	0.86	1152
S9	t_08	A	3	1	3.71	1368
S10	t_01	A	3	1	7.92	1189
S10	t_02	A	3	1	6.58	1170
S10	t_03	A	3	0	4.37	1474
S10	t_04	A	3	1	0.36	1565
S10	t_05	A	3	0	6.93	1429
S10	t_06	A	3	0	7.53	1472
S10	t_07	A	3	1	5.01	1165
S10	t_08	A	3	1	3.11	1082
S11	t_01	A	3	1	9.25	1259
S11	t_02	A	3	1	5.55	1432
S11	t_03	A	3	1	2.72	1354
S11	t_04	A	3	1	9.93	1418
S11	t_05	A	3	1	2.98	1548
S11	t_06	A	3	1	4.86	1139
S11	t_07	A	3	0	8.77	1591
S11	t_08	A	3	1	7.54	1605
S12	t_01	A	3	0	1.75	1576
S12	t_02	A	3	0	6.94	1080
S12	t_03	A	3	0	9.52	1249
S12	t_04	A	3	1	7.19	1509
S12	t_05	A	3	1	7.05	1204
S12	t_06	A	3	0	9.72	1137
S12	t_07	A	3	1	1.21	1370
S12	t_08	A	3	1	3.35	1445
S13	t_01	A	3	0	2.45	319
S13	t_02	A	3	1	4.97	670
S13	t_03	A	3	1	3.07	322
S13	t_04	A	3	1	5.06	526
S13	t_05	A	3	0	1.02	385
S13	t_06	A	3	1	6.22	565
S13	t_07	A	3	1	4.23	376
S13	t_08	A	3	0	5.07	379
S14	t_01	A	3	0	7.37	521
S14	t_02	A	3	1	0.1	206
S14	t_03	A	3	1	1.34	204
S14	t_04	A	3	1	2.35	657
S14	t_05	A	3	1	6.27	418
S14	t_06	A	3	1	1.2	521
S14	t_07	A	3	0	3.22	245
S14	t_08	A	3	1	8.69	270
S15	t_01	A	3	0	5.47	684
S15	t_02	A	3	1	7.62	517
S15	t_03	A	3	1	9.38	453
S15	t_04	A	3	1	0.7	515
S15	t_05	A	3	1	5.07	167
S15	t_06	A	3	0	7.13	728
S15	t_07	A	3	1	9.77	412
S15	t_08	A	3	1	4.8	179
S16	t_01	A	3	0	5.34	519
S16	t_02	A	3	0	8.2	322
S16	t_03	A	3	1	3.71	451
S16	t_04	A	3	0	7.07	517
S16	t_05	A	3	1	8.98	627
S16	t_06	A	3	1	7.57	371
S16	t_07	A	3	1	2.3	204
S16	t_08	A	3	1	3.73	695
S17	t_01	A	3	1	0.61	153
S17	t_02	A	3	0	5.31	588
S17	t_03	A	3	1	9.04	222
S17	t_04	A	3	1	4.73	487
S17	t_05	A	3	1	8.94	261
S17	t_06	A	3	1	1.16	744
S17	t_07	A	3	0	9.86	298
S17	t_08	A	3	1	9.57	542
S18	t_01	A	3	0	9.23	472
S18	t_02	A	3	0	6	177
S18	t_03	A	3	1	8.85	334
S18	t_04	A	3	1	5.44	616
S18	t_05	A	3	0	8.11	305
S18	t_06	A	3	1	8.14	703
S18	t_07	A	3	0	0.94	711
S18	t_08	A	3	1	9.18	337
S19	t_01	A	3	1	5.2	708
S19	t_02	A	3	1	3.68	632
S19	t_03	A	3	1	0.01	526
S19	t_04	A	3	1	1.52	297
S19	t_05	A	3	0	0.03	742
S19	t_06	A	3	1	5.05	281
S19	t_07	A	3	1	5.45	732
S19	t_08	A	3	0	7.97	364
S20	t_01	A	3	1	5.2	670
S20	t_02	A	3	1	0.19	626
S20	t_03	A	3	1	1.69	834
S20	t_04	A	3	1	0.95	890
S20	t_05	A	3	1	7.83	1043
S20	t_06	A	3	1	9.87	705
S20	t_07	A	3	1	9.73	1063
S20	t_08	A	3	0	9.41	1099
S21	t_01	A	3	0	3.38	966
S21	t_02	A	3	1	1.26	1114
S21	t_03	A	3	0	6.03	1080
S21	t_04	A	3	0	9.41	685
S21	t_05	A	3	0	4.36	805
S21	t_06	A	3	1	1.47	645
S21	t_07	A	3	1	5.54	776
S21	t_08	A	3	1	6.64	999
S22	t_01	A	3	1	3.66	1042
S22	t_02	A	3	1	5.24	1076
S22	t_03	A	3	1	0.1	1176
S22	t_04	A	3	1	6.63	806
S22	t_05	A	3	0	2.34	824
S22	t_06	A	3	1	6.36	1125
S22	t_07	A	3	1	3.4	787
S22	t_08	A	3	0	1.79	1070
S23	t_01	A	3	0	3.79	697
S23	t_02	A	3	1	0.55	1152
S23	t_03	A	3	1	8.01	1127
S23	t_04	A	3	1	6.71	1006
S23	t_05	A	3	1	0	1046
S23	t_06	A	3	1	4.39	811
S23	t_07	A	3	1	4.24	812
S23	t_08	A	3	1	2.72	947
S24	t_01	A	3	1	3.34	800
S24	t_02	A	3	1	2.67	697
S24	t_03	A	3	1	5.58	1024
S24	t_04	A	3	1	5.81	765
S24	t_05	A	3	1	4.06	1169
S24	t_06	A	3	1	9.39	915
S24	t_07	A	3	1	1.78	1040
S24	t_08	A	3	1	8.56	832
S1	t_01	A	4	0	6.07	1404
S1	t_02	A	4	0	3.86	1337
S1	t_03	A	4	0	8.23	1499
S1	t_04	A	4	0	2.62	1566
S1	t_05	A	4	0	3.99	1306
S1	t_06	A	4	0	2.69	1772
S1	t_07	A	4	0	1.15	1529
S1	t_08	A	4	0	0.11	1208
S2	t_01	A	4	0	8.59	1744
S2	t_02	A	4	1	6.74	1403
S2	t_03	A	4	0	8.1	1257
S2	t_04	A	4	1	4.61	1565
S2	t_05	A	4	1	4.18	1763
S2	t_06	A	4	0	7.63	1753
S2	t_07	A	4	1	1.69	1674
S2	t_08	A	4	0	9.59	1486
S3	t_01	A	4	0	1.12	1012
S3	t_02	A	4	0	0.94	524
S3	t_03	A	4	0	1.63	1053
S3	t_04	A	4	0	7.18	608
S3	t_05	A	4	0	4.87	985
S3	t_06	A	4	1	9.51	1120
S3	t_07	A	4	0	4.25	917
S3	t_08	A	4	0	9.62	1058
S4	t_01	A	4	0	0.63	996
S4	t_02	A	4	0	1.72	570
S4	t_03	A	4	1	8.45	984
S4	t_04	A	4	0	4.41	501
S4	t_05	A	4	1	8.18	825
S4	t_06	A	4	0	9.93	705
S4	t_07	A	4	0	1.85	503
S4	t_08	A	4	0	3.36	753
S5	t_01	A	4	1	3.6	926
S5	t_02	A	4	0	7.45	1158
S5	t_03	A	4	1	5.1	1387
S5	t_04	A	4	0	8.49	1320
S5	t_05	A	4	0	7	887
S5	t_06	A	4	0	4.37	1041
S5	t_07	A	4	1	8.88	1154
S5	t_08	A	4	0	4.46	1417
S6	t_01	A	4	0	5.43	1402
S6	t_02	A	4	0	3.88	1229
S6	t_03	A	4	1	0.7	945
S6	t_04	A	4	1	0.56	923
S6	t_05	A	4	0	3.71	804
S6	t_06	A	4	1	2.9	1418
S6	t_07	A	4	1	3.36	1176
S6	t_08	A	4	0	6.01	1311
S7	t_01	A	4	0	3.82	1630
S7	t_02	A	4	0	3.53	1837
S7	t_03	A	4	1	9.04	1403
S7	t_04	A	4	1	9.57	1768
S7	t_05	A	4	0	7.33	1747
S7	t_06	A	4	0	0.62	1519
S7	t_07	A	4	0	0.11	1843
S7	t_08	A	4	0	8.98	1665
S8	t_01	A	4	0	9.98	1403
S8	t_02	A	4	0	6.98	1427
S8	t_03	A	4	0	4.04	1909
S8	t_04	A	4	0	4.87	1752
S8	t_05	A	4	0	2.21	1693
S8	t_06	A	4	0	6.99	1546
S8	t_07	A	4	0	5.09	1904
S8	t_08	A	4	0	7.92	1336
S9	t_01	A	4	0	5.86	1711
S9	t_02	A	4	0	6.46	1378
S9	t_03	A	4	1	8.78	1653
S9	t_04	A	4	1	0.66	1914
S9	t_05	A	4	0	6.29	1364
S9	t_06	A	4	1	8.32	1492
S9	t_07	A	4	1	9.03	1333
S9	t_08	A	4	0	8.87	1487
S10	t_01	A	4	0	5.06	1800
S10	t_02	A	4	0	4.59	1663
S10	t_03	A	4	1	3.39	1502
S10	t_04	A	4	0	6.86	1671
S10	t_05	A	4	1	9.89	1519
S10	t_06	A	4	0	5.18	1756
S10	t_07	A	4	0	1.66	1779
S10	t_08	A	4	1	5.81	1402
S11	t_01	A	4	0	5.41	1605
S11	t_02	A	4	0	4.37	1728
S11	t_03	A	4	0	6.86	1931
S11	t_04	A	4	1	1.38	1876
S11	t_05	A	4	1	4.04	1734
S11	t_06	A	4	0	9.41	1724
S11	t_07	A	4	0	7.97	1404
S11	t_08	A	4	1	9.7	1433
S12	t_01	A	4	0	4.19	1650
S12	t_02	A	4	0	6.83	1776
S12	t_03	A	4	0	0.8	1433
S12	t_04	A	4	0	5.32	1719
S12	t_05	A	4	0	3.89	1651
S12	t_06	A	4	0	4	1705
S12	t_07	A	4	0	9.6	1703
S12	t_08	A	4	0	3.05	1884
S13	t_01	A	4	0	2.3	887
S13	t_02	A	4	0	1.71	531
S13	t_03	A	4	0	7.42	418
S13	t_04	A	4	0	5.12	504
S13	t_05	A	4	1	6.25	585
S13	t_06	A	4	0	4.87	920
S13	t_07	A	4	0	3.93	662
S13	t_08	A	4	0	4.83	461
S14	t_01	A	4	0	6.97	966
S14	t_02	A	4	0	4.56	422
S14	t_03	A	4	0	8.84	387
S14	t_04	A	4	0	8.17	728
S14	t_05	A	4	0	5.09	725
S14	t_06	A	4	0	5.04	1018
S14	t_07	A	4	0	3.24	989
S14	t_08	A	4	0	4.66	661
S15	t_01	A	4	0	0.01	885
S15	t_02	A	4	0	4.1	482
S15	t_03	A	4	0	8.69	962
S15	t_04	A	4	0	6.81	497
S15	t_05	A	4	0	5.84	353
S15	t_06	A	4	0	4.08	571
S15	t_07	A	4	0	4.55	625
S15	t_08	A	4	0	4.13	704
S16	t_01	A	4	0	2.26	934
S16	t_02	A	4	0	8.66	885
S16	t_03	A	4	0	6.71	644
S16	t_04	A	4	0	8.22	595
S16	t_05	A	4	0	7.75	587
S16	t_06	A	4	0	0.83	1023
S16	t_07	A	4	0	2.08	797
S16	t_08	A	4	0	6.38	468
S17	t_01	A	4	1	7.77	582
S17	t_02	A	4	0	1.77	711
S17	t_03	A	4	0	2.62	742
S17	t_04	A	4	1	3.09	393
S17	t_05	A	4	0	0.95	963
S17	t_06	A	4	1	7.65	838
S17	t_07	A	4	0	8.35	664
S17	t_08	A	4	0	2.75	557
S18	t_01	A	4	1	8.32	457
S18	t_02	A	4	0	1.57	388
S18	t_03	A	4	0	5.66	768
S18	t_04	A	4	0	8.38	1023
S18	t_05	A	4	0	0.68	948
S18	t_06	A	4	0	2.18	1011
S18	t_07	A	4	0	5.86	523
S18	t_08	A	4	0	4.67	1032
S19	t_01	A	4	0	0.02	701
S19	t_02	A	4	0	3.83	1042
S19	t_03	A	4	0	3.7	523
S19	t_04	A	4	1	8.49	743
S19	t_05	A	4	0	6.48	807
S19	t_06	A	4	0	8.02	816
S19	t_07	A	4	1	0.7	831
S19	t_08	A	4	0	0.68	1008
S20	t_01	A	4	0	2.17	1409
S20	t_02	A	4	0	5.9	1046
S20	t_03	A	4	0	5.41	1446
S20	t_04	A	4	0	3.2	1414
S20	t_05	A	4	0	9.5	1023
S20	t_06	A	4	0	3.85	801
S20	t_07	A	4	0	2.69	910
S20	t_08	A	4	0	3.26	1466
S21	t_01	A	4	0	9.14	1427
S21	t_02	A	4	0	5.13	821
S21	t_03	A	4	0	9.3	1098
S21	t_04	A	4	1	3.89	948
S21	t_05	A	4	0	0.04	1115
S21	t_06	A	4	0	6.57	1424
S21	t_07	A	4	0	5.75	904
S21	t_08	A	4	0	2.92	1023
S22	t_01	A	4	0	7.81	1080
S22	t_02	A	4	1	3.85	1248
S22	t_03	A	4	0	7.18	924
S22	t_04	A	4	1	5.53	1497
S22	t_05	A	4	0	8.24	1232
S22	t_06	A	4	0	3.49	911
S22	t_07	A	4	0	8.38	862
S22	t_08	A	4	0	0.8	1267
S23	t_01	A	4	0	6.39	1365
S23	t_02	A	4	0	2.55	1238
S23	t_03	A	4	1	7.88	821
S23	t_04	A	4	1	6.45	1142
S23	t_05	A	4	0	0.65	1429
S23	t_06	A	4	0	0.43	955
S23	t_07	A	4	0	0.75	934
S23	t_08	A	4	0	4.55	1299
S24	t_01	A	4	1	1.98	1389
S24	t_02	A	4	0	5.87	1400
S24	t_03	A	4	0	5.83	1430
S24	t_04	A	4	1	9.09	1334
S24	t_05	A	4	1	2.98	1176
S24	t_06	A	4	0	4.55	1057
S24	t_07	A	4	0	0.03	1306
S24	t_08	A	4	0	0.15	1086
S1	t_01	B	2	1	1.77	948
S1	t_02	B	2	1	9.64	877
S1	t_03	B	2	1	0.65	1126
S1	t_04	B	2	1	9.86	1115
S1	t_05	B	2	0	8.34	1067
S1	t_06	B	2	0	8.14	999
S1	t_07	B	2	1	4.52	1079
S1	t_08	B	2	1	0.1	1326
S2	t_01	B	2	1	3.79	1122
S2	t_02	B	2	0	7.87	936
S2	t_03	B	2	1	1.12	1322
S2	t_04	B	2	1	2.12	1316
S2	t_05	B	2	1	0.86	1331
S2	t_06	B	2	1	2.64	925
S2	t_07	B	2	1	9.9	961
S2	t_08	B	2	1	3.68	1160
S3	t_01	B	2	1	0.6	507
S3	t_02	B	2	1	9.77	607
S3	t_03	B	2	1	4.81	266
S3	t_04	B	2	1	4.14	529
S3	t_05	B	2	1	1.3	186
S3	t_06	B	2	1	4.24	584
S3	t_07	B	2	1	4.94	172
S3	t_08	B	2	1	7.4	271
S4	t_01	B	2	0	7.03	521
S4	t_02	B	2	0	1.93	188
S4	t_03	B	2	1	8.34	190
S4	t_04	B	2	0	4.35	547
S4	t_05	B	2	1	3.03	530
S4	t_06	B	2	0	1.53	535
S4	t_07	B	2	1	3.49	612
S4	t_08	B	2	1	7.12	453
S5	t_01	B	2	0	9.93	999
S5	t_02	B	2	1	7.05	993
S5	t_03	B	2	1	0.02	543
S5	t_04	B	2	0	4.43	733
S5	t_05	B	2	0	5.21	984
S5	t_06	B	2	1	6.64	540
S5	t_07	B	2	1	5.57	502
S5	t_08	B	2	0	4.46	905
S6	t_01	B	2	1	0.17	619
S6	t_02	B	2	0	7.86	631
S6	t_03	B	2	1	6.84	995
S6	t_04	B	2	1	9.68	567
S6	t_05	B	2	1	6.83	666
S6	t_06	B	2	1	1.65	893
S6	t_07	B	2	1	9.92	666
S6	t_08	B	2	1	7.02	1407
S7	t_01	B	2	1	3.97	1005
S7	t_02	B	2	1	0.82	1218
S7	t_03	B	2	1	1.2	1188
S7	t_04	B	2	1	8.54	1072
S7	t_05	B	2	1	8.31	1258
S7	t_06	B	2	1	7.16	1185
S7	t_07	B	2	1	0.69	1350
S7	t_08	B	2	1	0.66	1173
S8	t_01	B	2	1	3.08	1444
S8	t_02	B	2	1	8.84	1274
S8	t_03	B	2	1	2.94	1175
S8	t_04	B	2	0	7.34	1258
S8	t_05	B	2	1	9.75	1350
S8	t_06	B	2	0	6.24	1301
S8	t_07	B	2	1	6.79	1070
S8	t_08	B	2	0	2.91	1281
S9	t_01	B	2	1	6.45	1177
S9	t_02	B	2	1	5.07	1337
S9	t_03	B	2	1	8.38	1269
S9	t_04	B	2	1	7.59	1237
S9	t_05	B	2	1	6.58	1206
S9	t_06	B	2	1	2.74	1184
S9	t_07	B	2	1	7.23	1256
S9	t_08	B	2	1	8.95	1121
S10	t_01	B	2	1	7.37	1273
S10	t_02	B	2	1	5.79	1038
S10	t_03	B	2	1	3.99	1007
S10	t_04	B	2	1	8.24	1258
S10	t_05	B	2	1	3.99	1078
S10	t_06	B	2	1	4.99	1192
S10	t_07	B	2	1	6.92	1149
S10	t_08	B	2	1	6.6	1093
S11	t_01	B	2	1	8.87	1310
S11	t_02	B	2	1	3.39	1220
S11	t_03	B	2	1	7.58	1136
S11	t_04	B	2	0	6.81	1071
S11	t_05	B	2	1	6.28	1127
S11	t_06	B	2	1	3.24	978
S11	t_07	B	2	1	3.91	1021
S11	t_08	B	2	1	2.7	951
S12	t_01	B	2	1	7.54	1184
S12	t_02	B	2	1	8.79	1103
S12	t_03	B	2	0	6.81	1213
S12	t_04	B	2	0	3.75	1128
S12	t_05	B	2	1	5.1	1057
S12	t_06	B	2	0	6.97	1052
S12	t_07	B	2	1	0.3	1024
S12	t_08	B	2	0	6.12	1322
S13	t_01	B	2	0	0.07	418
S13	t_02	B	2	1	5.77	401
S13	t_03	B	2	0	6.09	330
S13	t_04	B	2	1	8.31	165
S13	t_05	B	2	0	1.62	267
S13	t_06	B	2	1	4.64	130
S13	t_07	B	2	0	8.39	437
S13	t_08	B	2	0	9.49	181
S14	t_01	B	2	1	8.17	240
S14	t_02	B	2	0	8.73	474
S14	t_03	B	2	0	4.33	243
S14	t_04	B	2	0	3.15	229
S14	t_05	B	2	0	9.88	278
S14	t_06	B	2	1	7.78	537
S14	t_07	B	2	1	3.64	310
S14	t_08	B	2	0	6.56	316
S15	t_01	B	2	1	4.48	477
S15	t_02	B	2	1	7.34	221
S15	t_03	B	2	1	7.15	510
S15	t_04	B	2	1	3.06	101
S15	t_05	B	2	1	9.18	530
S15	t_06	B	2	1	3.58	453
S15	t_07	B	2	1	6.96	259
S15	t_08	B	2	0	8.11	495
S16	t_01	B	2	0	4.75	455
S16	t_02	B	2	0	0.45	402
S16	t_03	B	2	1	6.3	124
S16	t_04	B	2	0	7.57	407
S16	t_05	B	2	1	7.99	211
S16	t_06	B	2	1	2.77	116
S16	t_07	B	2	1	1.56	157
S16	t_08	B	2	0	4.33	111
S17	t_01	B	2	1	1.57	315
S17	t_02	B	2	1	4.87	109
S17	t_03	B	2	1	3.32	260
S17	t_04	B	2	1	0.99	70
S17	t_05	B	2	1	4.2	152
S17	t_06	B	2	1	1.49	289
S17	t_07	B	2	1	0.19	162
S17	t_08	B	2	1	8.99	70
S18	t_01	B	2	1	5.24	234
S18	t_02	B	2	1	2.27	405
S18	t_03	B	2	0	3.32	241
S18	t_04	B	2	0	0.03	338
S18	t_05	B	2	0	0.86	514
S18	t_06	B	2	1	9.14	390
S18	t_07	B	2	0	8.68	478
S18	t_08	B	2	0	3.39	75
S19	t_01	B	2	0	8.32	156
S19	t_02	B	2	0	6.09	539
S19	t_03	B	2	0	3.32	170
